Startup Name,Link,Country,Category,Social Links,Pitch
Ecomz,https://websummit.com/appearances/lis24/38f41ba5-bf2e-4d54-8029-e8f60374416f/ecomz,Lebanon,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/ecomzofficial', 'com/ecomz_official/?hl=en': 'https://instagram.com/ecomz_official/?hl=en', 'com/ecomz_official': 'https://twitter.com/ecomz_official', 'facebook': 'https://www.facebook.com/ecomzofficial', 'ecomz': 'https://www.ecomz.com'}",AI-powered ecommerce platform with smart automation—optimize content for discoverability and engage customers with intelligent chatbots.
Edgee,https://websummit.com/appearances/lis24/af9afe1e-eeb7-4504-804b-4014e29b5fb9/edgee,France,SaaS,"{'linkedin': 'https://www.linkedin.com/company/edgee-cloud', 'com/edgee_cloud': 'https://twitter.com/edgee_cloud', 'cloud': 'https://edgee.cloud'}",Edgee Data Collection lets you capture 100% of user interactions directly into your analytics tools without delays or loss due to blockers.
EDMAPS,https://websummit.com/appearances/lis24/c44e9f52-9fcc-4a57-a81c-bbcdf5b7eb3b/edmaps,Ukraine,Education,"{'linkedin': 'https://www.linkedin.com/company/edmaps', 'facebook': 'https://www.facebook.com/LMSEdmaps', 'academy': 'https://edmaps.academy'}",LMS platform that makes the learning process for children as interesting and exciting as a computer game.
Edmov,https://websummit.com/appearances/lis24/167377e6-c264-49e2-94f1-0006aa7cfe46/edmov,Türkiye,Education,"{'linkedin': 'https://www.linkedin.com/company/edmov', 'crunchbase': 'https://www.crunchbase.com/organization/edmov', 'com/edmovar': 'https://instagram.com/edmovar', 'facebook': 'https://www.facebook.com/edmovar', 'edmov': 'https://www.edmov.com'}","We simplify the study abroad journey with an AI-enabled platform that connects students, agencies, and universities in one place."
Ejari,https://websummit.com/appearances/lis24/5ef89182-0fe5-49e7-a827-d6fd0ef93d6c/ejari,Saudi Arabia,Proptech & real estate,"{'linkedin': 'https://www.linkedin.com/company/ejari', 'com/ejari': 'https://instagram.com/ejari.sa', 'com/ejari_sa?lang=en': 'https://twitter.com/ejari_sa?lang=en', 'sa/': 'https://ejari.sa/'}","Rent Now, Pay Later - We decrease the burdens of moving into a new home and offer greater flexibility with how and when to pay rent"
Ejen2u,https://websummit.com/appearances/lis24/6ec0505c-2ad6-4f15-bbc6-7ceed3e64e26/ejen2u,Malaysia,E-commerce & retail,"{'linkedin': 'https://www.linkedin.com/company/26577913', 'crunchbase': 'https://www.crunchbase.com/organization/ejen2u', 'com/ejen2u': 'https://instagram.com/ejen2u.official/?hl=en', 'facebook': 'https://www.facebook.com/Ejen2uMY', 'ejen2u': 'https://www.ejen2u.com'}","Ejen2u is a reseller ecosystem for brands and their resellers, helping them to grow their business and to enrich their lives."
ELECTRON aerospace,https://websummit.com/appearances/lis24/11034611-5ed5-486a-a52f-a459ad0259c3/electron-aerospace,Netherlands,"Mobility, transportation & logistics","{'linkedin': 'https://www.linkedin.com/company/electronaerospace', 'flyelectron': 'https://www.flyelectron.eu'}","Guilty about your carbon footprint flying here? ELECTRON offers zero-emission, time-saving private flights this decade—at economy prices."
enclaive,https://websummit.com/appearances/lis24/0c707074-a187-441e-ac56-0d9f2f0f0e65/enclaive,Germany,Security,"{'linkedin': 'https://www.linkedin.com/company/enclaive', 'crunchbase': 'https://www.crunchbase.com/organization/enclaive', 'com/company/enclaive': 'https://linkedin.com/company/enclaive', 'io': 'https://enclaive.io'}",Making the cloud the safest place for digital businesses
Endari,https://websummit.com/appearances/lis24/51e4ebbf-9a0d-4baa-a214-cdaeb5b27717/endari,United States,Security,"{'linkedin': 'https://www.linkedin.com/company/endari', 'crunchbase': 'https://www.crunchbase.com/organization/endari', 'endari': 'https://www.endari.com'}","From startup to scale-up, Endari delivers customized cybersecurity maturity solutions to drive your business growth forward."
entrapeer,https://websummit.com/appearances/lis24/ab6c8160-dc00-4446-8a70-f1a02ab35f7c/entrapeer,United States,SaaS,"{'linkedin': 'https://www.linkedin.com/company/entrapeer', 'crunchbase': 'https://www.crunchbase.com/organization/entrapeer', 'com/entrapeer': 'https://twitter.com/entrapeer', 'com/': 'https://entrapeer.com/'}","Maximize your team’s potential with AI agents. Discover market trends, scout startups & reduce risk with entrapeer."
ESENCA SIZING,https://websummit.com/appearances/lis24/c148234d-6beb-4382-a012-b7cc373bd04e/esenca-sizing,Romania,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/esenca-app', 'com/esencaapp': 'https://twitter.com/esencaapp', 'facebook': 'https://www.facebook.com/esencaapp', 'com': 'https://esencasizing.com'}",Esenca Sizing: advanced body measurement solutions for apparel and 3D Virtual Try-On solution for the fashion industry
ExoMatter GmbH,https://websummit.com/appearances/lis24/2b047ab5-2a0b-4b3a-afb5-c8f2a3e5151e/exomatter-gmbh,Germany,SaaS,"{'linkedin': 'https://www.linkedin.com/company/exomatter', 'crunchbase': 'https://www.crunchbase.com/organization/exomatter', 'ai/': 'https://exomatter.ai/'}",The ExoMatter Materials R&D Platform finds better and more sustainable materials for your applications.
Extreme Reflexion Solutions,https://websummit.com/appearances/lis24/38c2ab0b-5220-4524-878c-b644cdaf3a3e/extreme-reflexion-solutions,Portugal,SaaS,"{'pt': 'https://extremesolutions.pt', 'x2vote': 'https://www.x2vote.com'}",eVoting System. Let's bring voting into the digital age.
F4e,https://websummit.com/appearances/lis24/afe91b54-b234-4312-96f1-8e709612688e/f4e,Türkiye,HR & recruitment,"{'linkedin': 'https://www.linkedin.com/company/f4e', 'crunchbase': 'https://www.crunchbase.com/organization/f4e', 'app/en/': 'https://f4e.app/en/'}","Drive growth and retain top talent with F4e’s HR platform, combining company goals, employee development, and retention for engaged teams."
Faceponto,https://websummit.com/appearances/lis24/34bcc9ac-b0ad-48a0-b9d1-3982fabf0cbf/faceponto,Brazil,SaaS,"{'linkedin': 'https://www.linkedin.com/company/facepontobr', 'com/faceponto': 'https://instagram.com/faceponto', 'facebook': 'https://www.facebook.com/faceponto', 'com': 'https://faceponto.com.br'}","We use AI to automate HR routines, from time tracking to payroll, optimizing processes and ensuring legal compliance."
Festi,https://websummit.com/appearances/lis24/81cdabb9-e7de-41a2-81d5-2ae2efcee49d/festi,United States,SaaS,{'io': 'https://festi.io'},Festi provides a low code rapid development toolkit that lets customers bypass limitations by offering quick time-to-market solutions
Fettle,https://websummit.com/appearances/lis24/560e29b7-d7f5-4051-a7f0-8814af89a3db/fettle,Ireland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/fettle-therapy', 'com/fettle': 'https://instagram.com/fettle.therapy', 'com/CaseyGames': 'https://twitter.com/CaseyGames', 'facebook': 'https://www.facebook.com/fettle.online.therapy', 'ie': 'https://fettle.ie'}",Ireland's Leading Online Therapy Platform. We are committed to promoting therapy for all by making it accessible through our technology
FeverTokens,https://websummit.com/appearances/lis24/e1bac3d8-413e-4be6-b028-3ec822267f74/fevertokens,France,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/fevertokens', 'fevertokens': 'https://www.fevertokens.io/'}","Pioneering advanced blockchain protocols and tokenization systems with scalable, secure, and efficient smart contract solutions."
Filma Eu!,https://websummit.com/appearances/lis24/0af21f5f-75b8-49a5-b21b-d97c86953680/filma-eu!,Brazil,Sports & fitness,"{'linkedin': 'https://www.linkedin.com/company/filma-eu', 'com/filmaeu': 'https://instagram.com/filmaeu', 'facebook': 'https://www.facebook.com/filmaeu.esporte', 'com': 'https://filmaeu.com.br'}",Eternalize the best moments on sports courts with just the press of a button. Over 1.3 million sports highlights recorded every month.
Finqi,https://websummit.com/appearances/lis24/a6b69e5b-e3b1-4fa2-8a30-c73a49da60cf/finqi,Brazil,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/finqi', 'com/finqi_': 'https://instagram.com/finqi_', 'finqi': 'https://www.finqi.com'}","Making automated risk analysis simple, adding speed, reliability, flexibility and traceability to the process."
Firsty,https://websummit.com/appearances/lis24/44fa6563-cebc-4447-bd58-fb3c8869fd60/firsty,Netherlands,Telecommunications & IT,"{'linkedin': 'https://www.linkedin.com/company/firsty-app', 'crunchbase': 'https://www.crunchbase.com/organization/firsty-1cf3', 'com/firsty_app': 'https://x.com/firsty_app', 'facebook': 'https://www.facebook.com/firstyapp', 'app': 'https://firsty.app'}","Firsty: world’s first free telecom provider. One planet, one connection."
Fisify,https://websummit.com/appearances/lis24/07f0df8d-1eca-4477-9c3a-96c313fd3d67/fisify,Spain,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/fisify', 'com/fisifyofficial': 'https://instagram.com/fisifyofficial', 'fisify': 'https://www.fisify.com/en'}","Fisify, the pioneering 100% AI-powered physiotherapy clinic shaping the future of care."
Flai,https://websummit.com/appearances/lis24/21dd8858-0881-444d-b364-1857bb90b549/flai,Slovenia,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/flai-ai', 'crunchbase': 'https://www.crunchbase.com/organization/flai', 'com/Flai_AI': 'https://x.com/Flai_AI', 'flai': 'https://www.flai.ai/'}","Flai transforms LiDAR data into actionable insights with unmatched speed and accuracy, empowering smarter decisions across industries."
Flirtu,https://websummit.com/appearances/lis24/e20359e8-4d11-43c3-a8bf-38eeb4935562/flirtu,Latvia,Social media & networking,"{'linkedin': 'https://www.linkedin.com/company/flirtu/posts/?feedView=all', 'com/flirtu_dating': 'https://instagram.com/flirtu_dating', 'io': 'https://flirtu.io'}",Dating in Telegram Messenger
FluIDect,https://websummit.com/appearances/lis24/e7e1840f-0041-4011-a12d-de911799c543/fluidect,Germany,Agritech & foodtech,"{'de': 'https://www.de.linkedin.com/company/fluidect', 'linkedin': 'https://de.linkedin.com/company/fluidect', 'com/en/': 'https://fluidect.com/en/'}",FluIDect GmbH
Formula Center Italia,https://websummit.com/appearances/lis24/37e42db3-4ebc-4125-9bc7-32c82cf076b7/formula-center-italia,Italy,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/in/davide-venditti-973212162', 'tech': 'http://humetry.tech'}",Track vital signs & performance in real-time with Humetry – advanced wearable telemetry for athletes & medical use. Explore innovation!
FOSSA Systems,https://websummit.com/appearances/lis24/2e59bf0e-c0f6-4ee9-a7bd-a7eeee639750/fossa-systems,Spain,"Hardware, robotics & IoT","{'linkedin': 'https://www.linkedin.com/company/fossa-systems', 'crunchbase': 'https://www.crunchbase.com/organization/fossa-systems', 'com/FossaSys': 'https://twitter.com/FossaSys', 'systems': 'https://fossa.systems'}",Satellite IoT for Industrial Remote Asset Management
Framedrop.ai,https://websummit.com/appearances/lis24/2aa8c0b7-b312-4b30-9b2f-1ad209d62266/framedrop.ai,Portugal,Entertainment & media,"{'linkedin': 'https://www.linkedin.com/company/framedrop', 'crunchbase': 'https://www.crunchbase.com/organization/framedrop-b1fe', 'framedrop': 'https://www.framedrop.ai/'}",Turn long videos into engaging short clips. Framedrop finds the best moments automatically. Auto captions. Auto layout. Speaker detection.
FRAMEWORK ROBOTICS GmbH,https://websummit.com/appearances/lis24/f4b39021-9d98-4575-b406-4ab0d659e62c/framework-robotics-gmbh,Germany,"Hardware, robotics & IoT","{'linkedin': 'https://www.linkedin.com/company/fw-robotics/?viewAsMember=true', 'fw-robotics': 'https://www.fw-robotics.de'}",FWR develops and distributes underwater robots based on a modular software and hardware platform. The focus is on collecting high-quality da
Frontier.cool Inc.,https://websummit.com/appearances/lis24/ba6e2dca-9c1c-4b0a-b98d-a3f209df129c/frontier.cool-inc.,United States,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/frontier-cool', 'crunchbase': 'https://www.crunchbase.com/organization/frontier-cool', 'com/frontier': 'https://instagram.com/frontier.cool', 'facebook': 'https://www.facebook.com/frontier.cool', 'frontier': 'https://www.frontier.cool'}","Frontier.cool is a SaaS platform enabling brands, designers, and textile companies to create 3D materials with generative AI."
Fubá Environmental Education,https://websummit.com/appearances/lis24/fca8423b-52e2-47fc-ab61-b2f9a41d357b/fub%C3%A1-environmental-education,Brazil,Travel & hospitality,"{'linkedin': 'https://www.linkedin.com/company/fubaea', 'com/fuba': 'https://instagram.com/fuba.ea', 'fubaea': 'https://www.fubaea.com.br'}","BoRa app enhances environmental education in tourist destinations, offering an immersive, inclusive, and sustainable experience to visitors."
Galaxies,https://websummit.com/appearances/lis24/27bb2777-f8ab-4ada-bfa1-c068ca786959/galaxies,Brazil,Data & analytics,"{'linkedin': 'https://www.linkedin.com/company/galaxiesgg', 'com/galaxies_gg': 'https://instagram.com/galaxies_gg', 'com/Galaxies_GG': 'https://x.com/Galaxies_GG', 'galaxies': 'https://www.galaxies.gg/en'}",Synthetic Personas: AI-powered fictional profiles based in real behavior data for fast and scalable customer insights.
Galventa AG,https://websummit.com/appearances/lis24/8f121e4b-c050-4e95-b86c-d702ecd8875d/galventa-ag,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/galventa', 'com/bsync': 'https://instagram.com/bsync.life', 'facebook': 'https://www.facebook.com/bsync.original', 'galventa': 'https://www.galventa.com/'}","We aim to help you sync your circadian rhythm for better sleep and wake-up with innovative, clinically tested galenic platform technologies."
Gelatex,https://websummit.com/appearances/lis24/6b02bc38-9845-4577-81cb-5598dc2face7/gelatex,Estonia,"Industrials, manufacturing & consumer goods","{'linkedin': 'https://www.linkedin.com/company/gelatex', 'gelatex': 'http://www.gelatex.com'}","Making nanofibers available in medical, life science and cultured meat industries."
Gelomics,https://websummit.com/appearances/lis24/fa904650-65b4-4837-a60c-5ab5e6d08985/gelomics,Australia,Healthtech & wellness,"{'at/gvQp4': 'https://shorturl.at/gvQp4', 'gelomics': 'https://www.gelomics.com/'}","Gelomics accelerates drug development with AI-driven human tissue models, offering an ethical and predictive alternative to animal testing."
Get More Brain,https://websummit.com/appearances/lis24/5d8b9aa0-df1f-49d0-8028-b2421255678d/get-more-brain,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/getmorebrain', 'getmorebrain': 'https://about.getmorebrain.com/'}",Streaming books 🍿. Providing publishers with a digital future. Performance support on the job.
getitAI,https://websummit.com/appearances/lis24/2d8d3ab9-9ec0-4cbc-98cd-a7bb8f78a524/getitai,United States,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/getitai', 'crunchbase': 'https://www.crunchbase.com/organization/getitai', 'com/getit_ai': 'https://x.com/getit_ai', 'getit': 'https://www.getit.ai/'}","A platform that operates video-powered AI Sales Reps for inbound website visitors, boosting conversion by 4x for DTC brands."
GetVocal AI,https://websummit.com/appearances/lis24/31338e49-68d0-4183-8154-a4853c658c4c/getvocal-ai,France,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/getvocal-ai', 'crunchbase': 'https://www.crunchbase.com/organization/getvocal-ai', 'instagram': '//www.instagram.com/getvocalai?igsh=NTVtZXhnNndmOTNm', 'ai': 'https://getvocal.ai', 'ai/': 'https://getvocal.ai/'}","Conversations Under Control: Meet the AI Phone Agent That Learns, Adapts, and Masters Every Call."
GiftShift,https://websummit.com/appearances/lis24/560a48ab-bcd5-4933-8563-20c516379891/giftshift,Netherlands,Charities & NGOs,"{'linkedin': 'https://www.linkedin.com/company/giftshiftnl', 'com/giftshiftorg': 'https://instagram.com/giftshiftorg', 'giftshift': 'https://www.giftshift.org'}","Make impact for a better world, by donating to charities in an easy and flexible way using GiftShift."
Gigalogy,https://websummit.com/appearances/lis24/1a411568-0f49-4834-bc89-7dbe92c62258/gigalogy,Japan,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/gigalogy', 'crunchbase': 'https://www.crunchbase.com/organization/gigalogy', 'facebook': 'https://www.facebook.com/gigalogy', 'com': 'https://gigalogy.com'}","AI-driven personalization for E-Commerce. Boosting discovery, user engagement & brand loyalty."
Glimpse,https://websummit.com/appearances/lis24/8ae3a83a-5e55-4c9f-8131-c2d398e3de96/glimpse,United States,Data & analytics,"{'com/company/glimpsehere': 'https://wellfound.com/company/glimpsehere', 'linkedin': 'https://www.linkedin.com/company/glimpsehere', 'crunchbase': 'https://www.crunchbase.com/organization/glimpse-f705', 'com/glimpseherenow': 'https://instagram.com/glimpseherenow', 'glimpseahead': 'https://www.glimpseahead.ai'}","Glimpse is a next generation research platform putting AI to work across multiple data sources for operators, marketers, and researchers."
Glooma,https://websummit.com/appearances/lis24/57a405d5-f9e3-4698-b4ca-7cde173f55a9/glooma,Portugal,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/glooma', 'drive': 'https://www.drive.google.com/file/d/1Yg3dlqkLulxEy4iJmuAM5amfpX7XbdMP/view?usp=sharing', 'com/glooma': 'https://instagram.com/glooma.pt', 'facebook': 'https://www.facebook.com/glooma.pt', 'pt/en/': 'https://glooma.pt/en/'}",Women’s Health startup that empowers Women with an at-home smart glove to detect abnormalities in the breast tissue.
GLOZO,https://websummit.com/appearances/lis24/9f407624-f517-41a5-83c8-2d52045345c8/glozo,United Kingdom,HR & recruitment,"{'linkedin': 'https://www.linkedin.com/company/glozo', 'crunchbase': 'https://www.crunchbase.com/organization/glozo', 'com/glozo_global': 'https://x.com/glozo_global', 'facebook': 'https://www.facebook.com/glozo.global', 'com': 'https://glozo.com'}","We help freelance recruiters quickly match job requirements to the right candidates, cutting time-to-hire and reducing costs."
gMendel,https://websummit.com/appearances/lis24/57b24381-c871-4177-a5f8-def2eddb10bf/gmendel,Denmark,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/gmendel', 'g-mendel': 'https://www.g-mendel.com'}","AI-powered, vertically-integrated IVD-certified technology for accurate, fast and affordable diagnosis of genetic disorders & beyond."
Godot,https://websummit.com/appearances/lis24/7d124b9d-c06b-438c-9649-e06f8591329e/godot,Austria,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/godot-international', 'inc/en': 'https://godot.inc/en'}",The AI platform that leverages behavioral and cognitive sciences to model behavioral principles and optimize UX/CX/EX.
GoTrust.Tech,https://websummit.com/appearances/lis24/24c8da00-f83a-4d06-9b81-b3c73549f3ba/gotrust.tech,Netherlands,Security,"{'linkedin': 'https://www.linkedin.com/company/gotrust-tech/posts/?feedView=all', 'tech': 'https://gotrust.tech', 'gotrust': 'https://www.gotrust.tech/'}",GoTrust: Automating privacy compliance Journey and Simplifying privacy ops.
Grambell,https://websummit.com/appearances/lis24/0d628b8d-36b0-4a28-a481-4e358bdc3e8a/grambell,United Arab Emirates,Telecommunications & IT,"{'linkedin': 'https://www.linkedin.com/company/_grambell', 'crunchbase': 'https://www.crunchbase.com/organization/grambell', 'com/try_grambell_': 'https://instagram.com/try_grambell_', 'com': 'https://grambell.com', 'facebook': 'https://www.facebook.com/try.grambell', 'com/': 'https://grambell.com/'}",Ai & Unified Communication for business with no code.
GREENER ACT,https://websummit.com/appearances/lis24/c7cb73f3-d4fb-4f60-a6d1-04cbec99cb48/greener-act,Portugal,Sustainability & cleantech,"{'linkedin': 'https://www.linkedin.com/company/greeneract', 'com/greener_act': 'https://instagram.com/greener_act', 'facebook': 'https://www.facebook.com/greeneractnow', 'greeneract': 'https://www.greeneract.com'}",ACT in a more SUSTAINABLE way.
Growappy,https://websummit.com/appearances/lis24/b9ecaeb0-b4d7-461a-bf1f-695e2162b0da/growappy,Portugal,Education,"{'co/company/growappy': 'https://angel.co/company/growappy', 'linkedin': 'https://www.linkedin.com/company/growappy', 'crunchbase': 'https://www.crunchbase.com/organization/growappy', 'com/growappy': 'https://instagram.com/growappy', 'facebook': 'https://www.facebook.com/growappyportugal', 'growappy': 'https://www.growappy.com'}",All-in-one platform for early education leading a vision to enable personalized education with AI and revolutionary communication
Hack2skill,https://websummit.com/appearances/lis24/cc9f3a49-f250-4b24-9e11-48542858face/hack2skill,India,SaaS,"{'linkedin': 'https://www.linkedin.com/company/hack2skill', 'com/hack2skill': 'https://instagram.com/hack2skill', 'com': 'https://hack2skill.com', 'facebook': 'https://www.facebook.com/hack2skill', 'com/': 'https://hack2skill.com/'}","Hack2skill connects companies, startups, and talent globally to accelerate innovation from seed to execution at scale. #Innovation"
HALT Chronic Disease,https://websummit.com/appearances/lis24/3781e3fa-53dd-4814-9cc3-dcae27292431/halt-chronic-disease,United States,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com', 'com/HealthProV': 'https://twitter.com/HealthProV', 'HALTChronicDisease': 'https://www.HALTChronicDisease.org'}",Prevent Chronic Disease with HALT online health education software that can be accessed by anyone with a cell phone.
Handwave,https://websummit.com/appearances/lis24/7269d957-12ad-425e-8cb9-158e8f91bd94/handwave,Latvia,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/handwave-eu', 'handwave': 'https://www.handwave.eu/'}",Handwave provides Biometrics-as-a-Service (BaaS) solution for authentication and payment services using palm-based contactless technology.
HealthHelper,https://websummit.com/appearances/lis24/121d06d0-7d40-4d1b-87f2-abbaef4f53e9/healthhelper,United States,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/86941929', 'healthhelper': 'https://www.healthhelper.co'}","AI-enabled service that offloads primary care workload by automating administrative tasks, patient panel management & engagement."
Hello Auto,https://websummit.com/appearances/lis24/3c5ce3d2-13b8-46f1-9824-ff50c1e4d95d/hello-auto,Spain,"Mobility, transportation & logistics","{'linkedin': 'https://www.linkedin.com/company/hello-auto-insurance/?originalSubdomain=es', 'crunchbase': 'https://www.crunchbase.com/organization/hello-auto', 'com/helloautoes': 'https://instagram.com/helloautoes', 'com/helloauto_es': 'https://twitter.com/helloauto_es', 'facebook': 'https://www.facebook.com/HelloAutoES', 'com/en': 'https://helloauto.com/en'}","Hello Auto is the most advanced car insurance that helps you in your driving, thanks to its driver assistance system, Hello Auto Connect."
Heycollab,https://websummit.com/appearances/lis24/bdfaa6a4-bf3c-47b1-9a7f-57bfdebad400/heycollab,United States,Telecommunications & IT,"{'linkedin': 'https://www.linkedin.com/company/heycollab', 'com/heycollab': 'https://instagram.com/heycollab', 'com/': 'https://heycollab.com/'}","Uniting Work: Tasks, Chats, Docs, and Video Calls in One."
HeyLink.me,https://websummit.com/appearances/lis24/158345fb-8330-4897-9551-195796b5b3bb/heylink.me,Australia,SaaS,"{'linkedin': 'https://www.linkedin.com/company/66332491/admin/dashboard', 'com/heylinkme': 'https://instagram.com/heylinkme', 'facebook': 'https://www.facebook.com/heylink.me', 'me': 'https://HeyLink.me'}",Fastest way from Offline to Online. Top 500 site globally with over 200M+ visits per month. Partner of .LINK. Trusted by over 7M users.
heylogin GmbH,https://websummit.com/appearances/lis24/bcc9fbaf-6084-463c-86a9-f64dff731fe5/heylogin-gmbh,Germany,SaaS,"{'linkedin': 'https://www.linkedin.com/company/heylogin', 'heylogin': 'https://www.heylogin.com'}",heylogin is not just an IT security company from Braunschweig; we also develop the first German password manager without a master password.
Hiperbanco,https://websummit.com/appearances/lis24/f83fa9df-5c0a-4d8d-8f66-20493081a555/hiperbanco,Brazil,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/hiperbanco', 'crunchbase': 'https://www.crunchbase.com/organization/hiperbanco', 'com/hiperbanco': 'https://instagram.com/hiperbanco', 'facebook': 'https://www.facebook.com/hiperbanco', 'com': 'https://hiperbanco.com.br/'}","Fintech that offers customized banking solutions, including whitelabel Digital Bank with Account, PIX, Transactions, Mastercard Card and API"
honeysales GmbH,https://websummit.com/appearances/lis24/3ed32e10-f1e2-44fa-9d2a-ccbc6b679ec2/honeysales-gmbh,Germany,AI & machine learning,"{'de': 'https://www.de.linkedin.com/company/honeysales', 'crunchbase': 'https://www.crunchbase.com/organization/honeysales', 'io': 'https://honeysales.io'}","Generate more revenue faster by replicating the behavior of your best salespeople using AI, real-time market intelligence, and CRM data."
Horizon,https://websummit.com/appearances/lis24/d7fdc1f1-4d50-4727-bc5f-66bd2db785ad/horizon,Germany,Data & analytics,"{'linkedin': 'https://www.linkedin.com/company/get-horizon', 'crunchbase': 'https://www.crunchbase.com/organization/horizon-f162', 'gethorizon': 'https://www.gethorizon.net'}",B2B SaaS to uncover the true purchase intent for any strategic consumer product decision
Hubby eSIM,https://websummit.com/appearances/lis24/24cd31be-34e8-4fec-bc71-deafe39b04e6/hubby-esim,Netherlands,Telecommunications & IT,"{'com/company/hubbyesim': 'https://linkedin.com/company/hubbyesim', 'hubbyesim': 'http://www.hubbyesim.com'}","We empower travel providers with worldwide internet as a value adding service, automatically delivered before departure in their brand."
Human Trusted Cyber Defense,https://websummit.com/appearances/lis24/ef5c8cc4-2b7a-4d8c-95b9-5dd02142126e/human-trusted-cyber-defense,United States,Security,"{'linkedin': 'https://www.linkedin.com/company/htcd-ai', 'com/HTCDAI': 'https://twitter.com/HTCDAI', 'htcd': 'https://www.htcd.com'}","CPR – instantaneous Compliance automation, Prioritization of security findings, and Remediation Crafted on-demand for your cloud"
Humanlinker,https://websummit.com/appearances/lis24/5fdd4eeb-fa8b-436c-8ea9-b80167df0e70/humanlinker,France,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/humanlinker', 'crunchbase': 'https://www.crunchbase.com/organization/humanlinker', 'com': 'https://humanlinker.com'}",Humanlinker is a cutting-edge AI Sales Assistant that helps revenue generation teams close more deals through hyper-personalization!
Hype1000,https://websummit.com/appearances/lis24/8079d462-13e6-4109-b8f8-49d87cec71be/hype1000,Germany,SaaS,"{'linkedin': 'https://www.linkedin.com/company/hype-1000', 'crunchbase': 'https://www.crunchbase.com/organization/hype1000', 'com/hype': 'https://instagram.com/hype.1000', 'one': 'https://hypecast.one'}","Stop boring your teams with emails, start engaging employees with podcasts!"
Hypefy,https://websummit.com/appearances/lis24/088d2363-72f6-4c3a-982a-d0be7d596f0c/hypefy,Croatia,"Advertising, content & marketing","{'linkedin': 'https://www.linkedin.com/company/hypefy-ai', 'com/hypefy': 'https://instagram.com/hypefy.ai', 'facebook': 'https://www.facebook.com/hypefyai', 'hypefy': 'https://www.hypefy.ai'}","Run entire influencer marketing campaigns, start to end, with a single sentence"
Hypesoft,https://websummit.com/appearances/lis24/58f76779-657a-46a5-8541-dab9ea2fd84f/hypesoft,Brazil,Telecommunications & IT,"{'linkedin': 'https://www.linkedin.com/company/hypesoft', 'com/hypesoftbrasil': 'https://instagram.com/hypesoftbrasil', 'facebook': 'https://www.facebook.com/hypesoftbrasil', 'hypesoft': 'https://www.hypesoft.com.br'}",Hypesoft offers a professional platform that provides the best global talent in the technology sector and connects them through automate AI
HySights,https://websummit.com/appearances/lis24/1ce65b79-e1fb-4f51-9d40-99d85e3146b0/hysights,Singapore,Data & analytics,"{'linkedin': 'https://www.linkedin.com/company/hysights', 'hysights': 'https://www.hysights.com'}","World’s first new energy ratings platform, powered by Vertical AI and Big Data. Achieve market clarity and assess project quality."
iCommunity,https://websummit.com/appearances/lis24/e00de9b0-d339-441e-b7e0-df24d6ba1454/icommunity,Spain,Web3,"{'linkedin': 'https://www.linkedin.com/company/icommunity-baas', 'crunchbase': 'https://www.crunchbase.com/organization/icommunity-426c', 'com/icommunity': 'https://instagram.com/icommunity.io', 'com/iCommunity_io': 'https://twitter.com/iCommunity_io', 'facebook': 'https://www.facebook.com/icommunity.io', 'io/': 'https://icommunity.io/'}","Blockchain-as-a-Service platform that provides an easy API to build use cases about traceability, notarization and identity verification"
iFriend,https://websummit.com/appearances/lis24/7bfba8dc-2213-4844-bd90-86010c0b1a8d/ifriend,Brazil,Travel & hospitality,"{'linkedin': 'https://www.linkedin.com/company/ifriend', 'crunchbase': 'https://www.crunchbase.com/organization/ifriend', 'com/the_ifriend': 'https://instagram.com/the_ifriend', 'com/TheiFriend': 'https://twitter.com/TheiFriend', 'facebook': 'https://www.facebook.com/TheiFriend', 'com': 'https://ifriend.com.br'}",iFriend is a global marketplace of Tours & Activities. We offer unforgettable travel experiences in more than 2.600 cities around the world.
